TF,gene,effect
Fur,gspO,-
Fur,feoA,-
Fur,feoB,-
Fur,feoC,-
Fur,feoA,-
Fur,feoB,-
Fur,feoC,-
Fur,yhhY,-
Fur,sodA,-
Fur,zapB,+
Fur,metJ,-
Fur,katG,+
Fur,metH,-
Fur,soxS,-
Fur,soxR,-
Fur,fumB,+
Fur,fecA,-
Fur,fecB,-
Fur,fecC,-
Fur,fecD,-
Fur,fecE,-
Fur,fecA,-
Fur,fecB,-
Fur,fecC,-
Fur,fecD,-
Fur,fecE,-
Fur,fecI,-
Fur,fecR,-
Fur,fecI,-
Fur,fecR,-
Fur,uxuA,+
Fur,uxuB,+
Fur,yjiT,-
Fur,fhuF,-
Fur,fhuF,-
Fur,ryhB,-
Fur,ryhB,-
Fur,ybdZ,-
Fur,ybdZ,-
Fur,yjjZ,-
Fur,yjjZ,-
KdpE,kdpF,+
KdpE,kdpA,+
KdpE,kdpB,+
KdpE,kdpC,+
MngR,mngR,-
MngR,mngA,-
MngR,mngB,-
ModE,modA,-
ModE,modB,-
ModE,modC,-
ModE,moaA,+
ModE,moaB,+
ModE,moaC,+
ModE,moaD,+
ModE,moaE,+
ModE,dmsA,-
ModE,dmsB,-
ModE,dmsC,-
ModE,narL,+
ModE,narX,+
ModE,oppA,-
ModE,oppB,-
ModE,oppC,-
ModE,oppD,-
ModE,oppF,-
ModE,ccmH,+
ModE,ccmG,+
ModE,ccmF,+
ModE,ccmE,+
ModE,ccmD,+
ModE,ccmC,+
ModE,ccmB,+
ModE,ccmA,+
ModE,napC,+
ModE,napB,+
ModE,napH,+
ModE,napG,+
ModE,napA,+
ModE,napD,+
ModE,napF,+
ModE,hycI,+
ModE,hycH,+
ModE,hycG,+
ModE,hycF,+
ModE,hycE,+
ModE,hycD,+
ModE,hycC,+
ModE,hycB,+
ModE,hycA,+
ModE,deoC,-
ModE,deoA,-
ModE,deoB,-
ModE,deoD,-
CecR,ybhR,-
CecR,ybhS,-
CecR,ybhF,-
CecR,ybhG,-
CecR,cecR,-
MntR,dps,-
MntR,mntP,+
MntR,mntH,-
MntR,rybA,-
MntR,mntS,-
DeoR,tsx,-
DeoR,nupG,-
DeoR,deoC,-
DeoR,deoA,-
DeoR,deoB,-
DeoR,deoD,-
RcdA,yagK,-
RcdA,sulA,-
RcdA,csgG,+
RcdA,csgF,+
RcdA,csgE,+
RcdA,csgD,+
RcdA,bluF,+
RcdA,ydeI,+
RcdA,asr,+
Lrp,thrL,-
Lrp,thrA,-
Lrp,thrB,-
Lrp,thrC,-
Lrp,thrL,+
Lrp,thrA,+
Lrp,thrB,+
Lrp,thrC,+
Lrp,leuD,-
Lrp,leuD,+
Lrp,leuC,-
Lrp,leuC,+
Lrp,leuB,-
Lrp,leuB,+
Lrp,leuA,-
Lrp,leuA,+
Lrp,leuL,-
Lrp,leuL,+
Lrp,ilvI,-
Lrp,ilvH,-
Lrp,ilvI,+
Lrp,ilvH,+
Lrp,ilvI,-
Lrp,ilvH,-
Lrp,ilvI,+
Lrp,ilvH,+
Lrp,ftsQ,-
Lrp,ftsA,-
Lrp,ftsZ,-
Lrp,yadV,-
Lrp,htrE,-
Lrp,yadV,+
Lrp,htrE,+
Lrp,rrsH,-
Lrp,ileV,-
Lrp,alaV,-
Lrp,rrlH,-
Lrp,rrfH,-
Lrp,pepD,-
Lrp,pepD,+
Lrp,ecpR,+
Lrp,ecpR,-
Lrp,ykgE,-
Lrp,ykgE,+
Lrp,ykgF,-
Lrp,ykgF,+
Lrp,ykgG,-
Lrp,ykgG,+
Lrp,brnQ,-
Lrp,brnQ,+
Lrp,proY,-
Lrp,proY,+
Lrp,ribE,+
Lrp,ribE,-
Lrp,nusB,-
Lrp,nusB,+
Lrp,ompT,+
Lrp,ompT,-
Lrp,ybgS,+
Lrp,ybgS,-
Lrp,aroG,-
Lrp,aroG,+
Lrp,ybhN,-
Lrp,ybhN,+
Lrp,clsB,-
Lrp,clsB,+
Lrp,ybhP,-
Lrp,ybhP,+
Lrp,ybiJ,-
Lrp,ybiJ,+
Lrp,potF,-
Lrp,potG,-
Lrp,potH,-
Lrp,potI,-
Lrp,potF,+
Lrp,potG,+
Lrp,potH,+
Lrp,potI,+
Lrp,artM,-
Lrp,artM,+
Lrp,artQ,-
Lrp,artQ,+
Lrp,artI,-
Lrp,artI,+
Lrp,artP,-
Lrp,artP,+
Lrp,ybjS,+
Lrp,ybjS,-
Lrp,lrp,-
Lrp,ycaM,+
Lrp,ycaM,-
Lrp,serC,+
Lrp,aroA,+
Lrp,serC,+
Lrp,aroA,+
Lrp,serC,-
Lrp,aroA,-
Lrp,aspC,+
Lrp,aspC,-
Lrp,yceB,+
Lrp,yceB,-
Lrp,lolC,-
Lrp,lolC,+
Lrp,lolD,-
Lrp,lolD,+
Lrp,lolE,-
Lrp,lolE,+
Lrp,nagK,+
Lrp,nagK,-
Lrp,ycgH_1,-
Lrp,ycgH_1,+
Lrp,ycgH_2,-
Lrp,ycgH_2,+
Lrp,dadA,-
Lrp,dadA,+
Lrp,dadA,-
Lrp,dadX,-
Lrp,dadX,+
Lrp,dadX,-
Lrp,dhaM,-
Lrp,dhaM,+
Lrp,dhaL,-
Lrp,dhaL,+
Lrp,dhaK,-
Lrp,dhaK,+
Lrp,adhE,-
Lrp,adhE,+
Lrp,adhE,-
Lrp,oppA,-
Lrp,oppA,+
Lrp,oppA,-
Lrp,oppB,-
Lrp,oppB,+
Lrp,oppB,-
Lrp,oppC,-
Lrp,oppC,+
Lrp,oppC,-
Lrp,oppD,-
Lrp,oppD,+
Lrp,oppD,-
Lrp,oppF,-
Lrp,oppF,+
Lrp,oppF,-
Lrp,yciN,+
Lrp,yciN,-
Lrp,yciT,-
Lrp,yciT,+
Lrp,tyrR,+
Lrp,tyrR,-
Lrp,uspE,-
Lrp,uspE,+
Lrp,osmC,+
Lrp,osmC,-
Lrp,ydeN,-
Lrp,ydgI,+
Lrp,ydgI,-
Lrp,folM,+
Lrp,folM,-
Lrp,dtpA,-
Lrp,dtpA,+
Lrp,astE,+
Lrp,astE,-
Lrp,astB,+
Lrp,astB,-
Lrp,astD,+
Lrp,astD,-
Lrp,astA,+
Lrp,astA,-
Lrp,astC,+
Lrp,astC,-
Lrp,leuE,-
Lrp,leuE,-
Lrp,leuE,+
Lrp,sdaA,-
Lrp,sdaA,-
Lrp,sdaA,+
Lrp,tyrP,+
Lrp,tyrP,-
Lrp,yodC,-
Lrp,yodC,+
Lrp,yeeD,+
Lrp,yeeD,-
Lrp,yeeE,+
Lrp,yeeE,-
Lrp,yehL,+
Lrp,yehL,-
Lrp,yehM,+
Lrp,yehM,-
Lrp,yehP,+
Lrp,yehP,-
Lrp,yehQ,+
Lrp,yehQ,-
Lrp,lysP,+
Lrp,yeiL,+
Lrp,mepS,-
Lrp,mepS,+
Lrp,napC,+
Lrp,napC,-
Lrp,napB,+
Lrp,napB,-
Lrp,napH,+
Lrp,napH,-
Lrp,napG,+
Lrp,napG,-
Lrp,napA,+
Lrp,napA,-
Lrp,napD,+
Lrp,napD,-
Lrp,napF,+
Lrp,napF,-
Lrp,eco,+
Lrp,eco,-
Lrp,mqo,+
Lrp,mqo,-
Lrp,yojI,+
Lrp,ompC,-
Lrp,lrhA,-
Lrp,lrhA,+
Lrp,alaA,-
Lrp,alaA,+
Lrp,alaA,-
Lrp,yfcC,+
Lrp,yfcC,-
Lrp,fadJ,+
Lrp,fadI,+
Lrp,yfcZ,+
Lrp,yfcZ,-
Lrp,yffQ,+
Lrp,yffQ,-
Lrp,yffR,+
Lrp,yffR,-
Lrp,upp,-
Lrp,uraA,-
Lrp,purM,-
Lrp,purN,-
Lrp,ppx,+
Lrp,ppx,-
Lrp,csiE,-
Lrp,csiE,+
Lrp,rrfG,-
Lrp,rrlG,-
Lrp,gltW,-
Lrp,rrsG,-
Lrp,csiD,+
Lrp,lhgO,+
Lrp,gabD,+
Lrp,gabT,+
Lrp,gabP,+
Lrp,stpA,+
Lrp,stpA,-
Lrp,stpA,+
Lrp,sdaC,+
Lrp,sdaC,-
